,Start date,Sleep quality,Drank coffee,Drank tea,Worked out,Stressful day,Sleep cycle,Sleep cycle offset,Start time
363,2016-09-10,33,False,True,False,False,4,77,3
364,2016-09-11,60,True,False,False,False,4,74,3
365,2016-09-12,67,False,True,True,False,5,4,3
366,2016-09-13,59,False,True,True,False,5,42,2
367,2016-09-14,65,False,True,True,False,5,23,2
368,2016-09-17,70,True,False,False,False,6,56,2
369,2016-09-18,57,True,False,True,False,5,25,2
370,2016-09-19,60,False,True,True,False,5,37,2
371,2016-09-20,57,False,True,True,False,5,6,3
372,2016-09-21,60,False,True,False,False,5,29,2
373,2016-09-22,70,False,True,True,False,5,59,2
374,2016-09-25,58,True,True,True,False,5,1,3
375,2016-09-26,55,False,True,True,True,5,33,2
376,2016-09-27,55,False,True,True,False,5,14,2
377,2016-09-28,60,True,True,True,False,4,69,3
378,2016-09-29,53,True,False,True,False,4,89,3
379,2016-10-01,67,True,True,True,False,5,50,4
380,2016-10-01,55,True,False,False,False,5,56,3
381,2016-10-03,62,True,True,True,False,5,8,2
382,2016-10-04,66,False,True,True,False,5,58,2
383,2016-10-05,54,False,True,True,False,5,18,3
384,2016-10-07,71,True,True,True,False,5,32,3
385,2016-10-10,59,True,True,True,False,5,19,3
386,2016-10-11,56,False,True,True,False,5,15,2
387,2016-10-12,65,True,False,True,False,4,76,3
388,2016-10-13,61,True,False,True,False,5,34,2
389,2016-10-15,71,True,False,False,False,5,60,3
390,2016-10-16,50,True,True,False,False,4,87,3
391,2016-10-17,63,True,True,True,False,5,4,3
392,2016-10-18,67,True,False,True,True,5,5,3
393,2016-10-19,64,True,False,True,False,5,5,2
394,2016-10-20,67,True,True,True,False,5,49,2
395,2016-10-23,81,True,False,False,False,5,70,4
396,2016-10-23,66,True,True,False,False,5,31,2
397,2016-10-24,65,True,True,True,False,4,81,3
398,2016-10-25,69,False,True,True,False,5,16,3
399,2016-10-26,72,True,True,True,False,5,0,3
400,2016-10-27,63,True,True,True,False,5,2,3
401,2016-10-29,66,True,True,False,False,5,4,4
402,2016-10-30,68,True,False,True,False,4,83,3
403,2016-11-01,68,False,True,True,True,5,7,2
404,2016-11-02,72,True,True,False,True,5,8,3
405,2016-11-04,80,True,False,False,True,6,8,3
406,2016-11-06,65,True,False,False,False,5,19,2
407,2016-11-07,70,False,True,True,False,5,5,2
408,2016-11-09,65,True,True,True,False,4,77,3
409,2016-11-10,56,True,True,True,False,4,80,4
410,2016-11-11,74,True,True,False,False,5,21,3
411,2016-11-15,72,False,True,False,False,6,20,2
412,2016-11-16,70,True,False,False,False,5,26,3
413,2016-11-17,73,False,True,False,False,5,14,3
414,2016-11-18,70,True,True,False,False,5,6,4
415,2016-11-19,81,False,True,False,False,5,35,4
416,2016-11-20,80,True,True,False,False,5,31,3
417,2016-11-21,68,True,True,False,False,4,61,3
418,2016-11-22,80,False,True,True,False,5,43,1
419,2016-11-23,73,True,True,True,False,4,85,3
420,2016-11-24,88,False,True,True,False,5,69,2
421,2016-11-25,89,True,True,False,False,5,60,3
422,2016-11-27,75,False,True,False,False,5,46,2
423,2016-11-28,83,False,True,True,False,5,20,3
424,2016-11-30,89,True,True,False,False,5,31,1
425,2016-12-01,71,False,True,False,False,5,1,2
426,2016-12-04,89,True,True,False,False,5,32,5
427,2016-12-04,78,False,True,False,False,5,30,2
428,2016-12-05,79,False,True,True,False,5,25,2
429,2016-12-06,72,False,True,True,False,5,2,2
430,2016-12-07,82,True,True,True,False,5,2,3
431,2016-12-08,69,True,True,True,False,4,75,4
432,2016-12-09,79,False,True,False,False,6,23,3
433,2016-12-11,82,True,False,True,False,4,79,5
434,2016-12-11,85,False,True,False,False,5,31,2
435,2016-12-12,81,True,True,False,False,5,8,3
436,2016-12-13,83,True,True,True,False,5,32,2
437,2016-12-14,74,False,True,False,False,5,50,2
438,2016-12-15,75,False,True,False,False,5,1,1
439,2016-12-18,78,True,True,False,False,4,71,3
440,2016-12-19,96,False,True,False,False,5,76,2
441,2016-12-20,84,False,True,False,False,4,80,4
442,2016-12-21,86,True,True,False,False,5,3,4
443,2016-12-22,74,True,True,False,True,5,30,3
444,2016-12-27,69,True,True,False,False,5,35,3
445,2016-12-30,92,True,True,False,False,6,0,3
446,2017-01-03,87,False,True,False,False,5,39,2
447,2017-01-04,87,True,True,True,False,4,89,3
448,2017-01-05,93,False,True,True,False,5,32,3
449,2017-01-06,90,True,True,False,False,6,29,3
450,2017-01-08,79,False,True,False,False,4,82,5
451,2017-01-08,84,False,True,False,False,5,46,2
452,2017-01-09,65,True,True,False,False,5,27,3
453,2017-01-10,84,True,True,False,False,5,24,2
454,2017-01-11,73,True,True,False,False,4,67,2
455,2017-01-12,64,True,True,False,False,4,77,2
456,2017-01-13,89,False,True,True,False,5,24,3
457,2017-01-15,74,True,True,True,False,5,2,3
458,2017-01-16,71,False,True,False,False,4,72,2
459,2017-01-18,76,False,True,False,False,5,39,2
460,2017-01-19,92,True,True,False,False,5,45,2
461,2017-01-20,78,False,True,False,False,5,68,3
462,2017-01-21,96,False,True,False,False,5,59,3
463,2017-01-22,64,False,True,False,False,5,52,2
464,2017-01-23,89,True,True,False,False,5,5,3
465,2017-01-24,84,True,True,False,False,4,77,3
466,2017-01-25,85,False,True,True,False,5,45,1
467,2017-01-27,91,True,True,False,False,5,32,3
468,2017-01-31,78,True,True,True,False,5,6,3
469,2017-02-01,74,True,True,True,False,4,89,3
470,2017-02-02,85,True,True,False,False,5,41,2
471,2017-02-03,80,True,True,False,False,4,69,4
472,2017-02-04,68,True,True,False,False,5,5,4
473,2017-02-05,75,True,True,False,False,5,6,3
474,2017-02-06,71,True,True,True,False,5,20,3
475,2017-02-10,100,False,True,False,False,5,60,3
476,2017-02-12,63,True,True,False,False,6,16,2
477,2017-02-13,74,True,True,False,False,4,70,2
478,2017-02-15,44,True,True,False,False,5,18,3
479,2017-02-16,83,True,True,False,False,5,28,3
480,2017-02-17,93,True,True,False,False,5,50,4
481,2017-02-19,79,False,True,False,False,5,18,4
482,2017-02-19,66,True,True,False,False,5,34,2
483,2017-02-20,76,False,True,False,False,5,13,3
484,2017-02-21,72,True,True,False,False,4,71,3
485,2017-02-22,83,False,True,False,False,5,1,2
486,2017-02-23,81,True,True,False,False,4,79,2
487,2017-02-26,77,False,True,False,False,4,67,5
488,2017-02-27,81,True,False,False,False,5,4,2
489,2017-02-28,87,True,True,True,False,5,31,2
490,2017-03-01,85,True,True,False,False,5,37,2
491,2017-03-02,81,True,True,True,False,5,25,2
492,2017-03-05,96,True,True,False,False,5,46,4
493,2017-03-05,93,True,True,False,False,5,37,2
494,2017-03-06,97,True,True,False,False,5,51,2
495,2017-03-07,90,True,True,True,False,5,31,2
496,2017-03-08,85,True,True,False,False,6,5,1
497,2017-03-09,71,True,True,True,False,4,73,2
498,2017-03-10,86,True,True,False,False,5,44,3
499,2017-03-12,80,True,True,False,False,5,23,3
500,2017-03-13,81,False,True,True,False,5,12,1
501,2017-03-14,89,False,True,True,False,5,47,1
502,2017-03-15,71,True,True,True,False,5,14,3
503,2017-03-16,95,True,True,True,False,5,34,3
504,2017-03-17,99,True,True,False,False,6,7,3
505,2017-03-18,89,False,True,False,False,5,84,2
506,2017-03-20,79,True,True,False,False,4,78,4
507,2017-03-20,88,True,True,False,False,5,11,4
508,2017-03-21,79,True,True,False,False,4,61,3
509,2017-03-22,72,False,True,True,False,4,72,2
510,2017-03-23,76,True,True,True,False,4,81,2
511,2017-03-25,100,True,True,False,False,5,26,3
512,2017-03-26,83,True,True,True,False,4,89,2
513,2017-03-27,78,False,True,True,False,5,52,1
514,2017-03-28,78,True,True,True,False,4,71,2
515,2017-03-29,79,True,True,True,False,5,4,2
516,2017-03-30,93,True,True,True,False,5,81,3
517,2017-04-01,95,False,True,False,False,6,54,1
518,2017-04-02,90,True,True,True,False,5,49,2
519,2017-04-03,92,False,True,False,False,5,33,2
520,2017-04-04,81,False,True,True,False,5,39,2
521,2017-04-06,68,True,True,True,False,4,67,3
522,2017-04-08,75,True,True,True,False,4,89,4
523,2017-04-10,70,False,True,True,False,4,79,2
524,2017-04-11,67,False,False,False,False,4,76,3
525,2017-04-12,74,False,True,False,False,6,11,2
526,2017-04-13,83,True,True,False,False,5,42,4
527,2017-04-14,88,False,True,False,False,6,67,2
528,2017-04-15,73,False,True,False,False,5,12,3
529,2017-04-17,83,True,True,False,False,5,14,4
530,2017-04-17,66,True,True,False,False,5,11,2
531,2017-04-18,59,True,True,True,False,5,6,3
532,2017-04-19,75,False,False,False,False,5,21,2
533,2017-04-20,75,True,True,True,False,4,86,2
534,2017-04-21,83,True,True,True,False,6,9,3
535,2017-04-23,86,True,True,False,False,5,14,5
536,2017-04-23,75,True,False,False,False,5,29,3
537,2017-04-24,72,True,True,True,False,4,87,3
538,2017-04-25,85,True,True,True,False,5,30,2
539,2017-04-26,68,True,True,True,False,5,36,2
540,2017-04-27,64,True,True,True,False,5,21,3
541,2017-04-28,90,True,True,False,True,5,67,4
542,2017-04-29,74,True,True,False,False,5,13,4
543,2017-04-30,72,True,True,True,False,5,17,2
544,2017-05-01,74,True,True,True,False,5,46,2
545,2017-05-02,77,True,True,True,False,5,46,2
546,2017-05-03,59,True,True,True,False,4,81,3
547,2017-05-04,73,True,True,True,False,5,2,3
548,2017-05-06,83,True,True,True,False,4,80,4
549,2017-05-07,81,True,False,False,False,5,48,2
